Petal,Rarity,Image,ID,Count,Stack,Damage,Health,Primary Respawn,Usage Respawn,DPS,Special Stat Name,Special Stat 1,Special Stat 2,Special Stat 3,Attack Action,Defend Action,Notes,Mob Drops,Modifiable Stats,Formulas,,,,,
,Rare,,,1,,135,90,2.5,N/A,50.752,,,,,,,,,,,,0,0,1,
,Epic,,,1,,405,270,2.5,N/A,456.767,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,1215,810,2.5,N/A,4110.902,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,3645,2430,2.5,N/A,34257.519,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,10935,7290,2.5,N/A,142962.966,,,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,32805,21870,2.5,N/A,628896.695,,,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,98415,65610,2.5,N/A,2233949.678,,,,,,,,,,,,1,26.244,26.244,
Coral,Common,,90,1,Yes,11,1,1.5,N/A,19.88,N/A,,,,Far,Close,"Upon dying, breaks into 2 pieces which have half the damage of the original petal. These pieces break into two more upon dying, which have 1/4 the damage of the original petal. These pieces do not break up when they die. The whole petal goes on respawn when all 7 pieces have died.",Sponge,,,,0,0,1,
,Unusual,,,1,,33,1,1.5,N/A,59.639,,,,,,,,,,,,0,0,1,
,Rare,,,1,,99,1,1.5,N/A,178.916,,,,,,,,,,,,0,0,1,
,Epic,,,1,,297,1,1.5,N/A,536.747,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,891,1,1.5,N/A,1610.241,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,2673,1,1.5,N/A,4830.723,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,8019,1,1.5,N/A,14492.169,,,,,,,,,,,,0,0,1,
,Super,,,1,,24057,1,1.5,N/A,43476.506,,,,,,,,,,,,0,0,1,
,Unique,,,1,,72171,1,1.5,N/A,130429.518,,,,,,,,,,,,0,0,1,
Corn,Common,,25,1,Yes,5,300,7,N/A,2.095,N/A,,,,Far,Close,N/A,"Rat
Worker Ant
Worker Fire Ant",,,,0,0,1,
,Unusual,,,1,,15,900,7,N/A,18.855,,,,,,,,,,,,0,0,1,
,Rare,,,1,,45,2700,7,N/A,147.451,,,,,,,,,,,,1,1.08,1.08,
,Epic,,,1,,135,8100,7,N/A,1051.442,,,,,,,,,,,,1,3.24,3.24,
,Legendary,,,1,,405,24300,7,N/A,5830.273,,,,,,,,,,,,1,9.72,9.72,
,Mythic,,,1,,1215,72900,7,N/A,24386.977,,,,,,,,,,,,1,29.16,29.16,
,Ultra,,,1,,3645,218700,7,N/A,84230.928,,,,,,,,,,,,1,87.48,87.48,
,Super,,,1,,10935,656100,7,N/A,266114.744,,,,,,,,,,,,1,262.44,262.44,
,Unique,,,1,,32805,1968300,7,N/A,812733.883,,,,,,,,,,,,1,787.32,787.32,
Corruption,Common,,80,1,No,N/A,N/A,N/A,N/A,N/A,Cannot be unequipped; Petal is lost on death [except for super+]; Contagious [Unique only],N/A,,,N/A,N/A,"Does not orbit the user.
Gives the user a gambler skin. This change is visible in the top left UI. Allows the user to engage in PvP with flowers at or above 20, even in non PvP areas. Cannot be unequipped. Lost on death, except super+.
If a Digger is spawned by a player with corruption equipped, the Digger will appear red and be hostile towards players.
A Unique Corruption allows the user to spread the Corruption effect to other users by touching them. These users can further spread it.",Gambler,,,,1,#VALUE!,#VALUE!,
,Unusual,,,1,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,1,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,1,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,1,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,1,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,1,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,1,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,1,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
Cotton,Common,,56,1,Yes,0,6,1.5,N/A,0,N/A,,,,None,Close,"Negates all incoming damage, causing damage to go to the petal instead.","With no Orb equipped:
Bush",,,,0,0,1,
,Unusual,,,1,,0,18,1.5,N/A,0,,,,,,,,,,,,0,0,1,
,Rare,,,1,,0,54,1.5,N/A,0,,,,,,,,,,,,0,0,1,
,Epic,,,1,,0,162,1.5,N/A,0,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,0,486,1.5,N/A,0,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,0,1458,1.5,N/A,0,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,0,2525,1.5,N/A,0,,,,,,,,,,,,1,1.01,1.01,
,Super,,,1,,0,4374,1.5,N/A,0,,,,,,,,,,,,1,1.7496,1.7496,
,Unique,,,1,,0,7576,1.5,N/A,0,,,,,,,,,,,,1,3.0304,3.0304,
Magic Cotton,Common,,83,1,No,N/A,N/A,1.5,N/A,N/A,Damage Absorption [per mana],0.25,N/A,,None,Close,"Negates 98% of incoming damage, causing damage to go to the petal instead, based on total mana.","With Orb equipped:
Bush",,,,1,#VALUE!,#VALUE!,
,Unusual,,,1,,N/A,N/A,1.5,N/A,N/A,,0.5,,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,1,,N/A,N/A,1.5,N/A,N/A,,0.75,,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,1,,N/A,N/A,1.5,N/A,N/A,,1,,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,1,,N/A,N/A,1.5,N/A,N/A,,1.25,,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,1,,N/A,N/A,1.5,N/A,N/A,,1.5,,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,1,,N/A,N/A,1.5,N/A,N/A,,1.75,,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,1,,N/A,N/A,1.5,N/A,N/A,,2,,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,1,,N/A,N/A,1.5,N/A,N/A,,2.25,,,,,,,,,,1,#VALUE!,#VALUE!,
Crown,Common,,104,1,No,N/A,N/A,2,,N/A,Spawn Rarity,Mythic,Lifespan of each beetle,7s,N/A,N/A,"Does not orbit the user.
Gives its user a crown look. Periodicially spawns undead mythic beetles around the user. This is the only petal that can drop as a unique. Once someone has it, anyone else who obtains it, ""steals"" the petal from the previous user, so there is only ever one owner.",Pharaoh Beetle,,,,1,#VALUE!,#VALUE!,
,Unusual,,,1,,N/A,N/A,2,,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,1,,N/A,N/A,2,,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,1,,N/A,N/A,2,,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,1,,N/A,N/A,2,,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,1,,N/A,N/A,2,,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,1,,N/A,N/A,2,,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,1,,N/A,N/A,2,,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,1,,N/A,N/A,2,,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
Cutter,Common,,37,N/A,No,N/A,N/A,N/A,N/A,N/A,Extra Body Damage,27,N/A,,None,None,"Does not orbit the user.
Appears on the flower. This change is visible in the top left UI. Grants a bonus to the user's body damage. Body damage bonus is applied after Sharp Edges bonuses, and Body Toxicity is unaffected by Cutters.",Digger,,,,1,#VALUE!,#VALUE!,
,Unusual,,,N/A,,N/A,N/A,N/A,N/A,N/A,,81,,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,N/A,,N/A,N/A,N/A,N/A,N/A,,243,,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,729,,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,N/A,,N/A,N/A,N/A,N/A,N/A,,2187,,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,6561,,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,N/A,,N/A,N/A,N/A,N/A,N/A,,11364,,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,N/A,,N/A,N/A,N/A,N/A,N/A,,19683,,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,N/A,,N/A,N/A,N/A,N/A,N/A,,34092,,,,,,,,,,1,#VALUE!,#VALUE!,
Dahlia,Common,,38,3,Yes,1.7,1.7,1.5,1,3.012,Heal,1,N/A,,None,Close,"Heals the user, or if at full health, nearby friendly flowers. The petal then goes on respawn. In Hel, nearby players will not be healed unless they are in the user's squad.
Heal stat is for each individual petal.","Ladybug (Dark)
Ladybug (Shiny)",,1.25,,0,0,1,
,Unusual,,,3,,5,5,1.5,1,9.036,,4,,,,,,,,,,0,0,1,
,Rare,,,3,,15,15,1.5,1,27.108,,11,,,,,,,,,,0,0,1,
,Epic,,,3,,45,45,1.5,1,81.325,,34,,,,,,,,,,0,0,1,
,Legendary,,,3,,135,135,1.5,1,487.952,,101,,,,,,,,,,0,0,1,
,Mythic,,,3,,405,405,1.5,1,3659.639,,304,,,,,,,,,,0,0,1,
,Ultra,,,3,,1215,1215,1.5,1,28545.181,,526,,,,,,,,,,0,0,1,
,Super,,,3,,3645,3645,1.5,1,127832.184,,911,,,,,,,,,,1,1.458,1.458,
,Unique,,,3,,10935,10935,1.5,1,594502.279,,"1,578",,,,,,,,,,1,4.374,4.374,
Dandelion,Common,,15,1,Yes,8,8,1,N/A,6.897,Duration,30,N/A,,Very Far,Close,"Enemies hit by the petal have their healing received reduced by 20% for the duration listed. Stacks multiplicatively. Flowers hit by this turn a pale yellow.
If there are multiple petals, petals do not occupy the same spot, instead forming a line of petals. This decreases the distance between petals.
See Statuses for info on healing received.",Dandelion,,,,0,0,1,
,Unusual,,,1,,24,24,1,N/A,20.69,,30,,,,,,,,,,0,0,1,
,Rare,,,1,,72,72,1,N/A,62.069,,30,,,,,,,,,,0,0,1,
,Epic,,,1,,216,216,1,N/A,558.621,,30,,,,,,,,,,0,0,1,
,Legendary,,,1,,648,648,1,N/A,3910.345,,30,,,,,,,,,,0,0,1,
,Mythic,,,2,,972,972,1,N/A,16758.621,,30,,,,,,,,,,0,0,1,
,Ultra,,,3,,1944,1944,1,N/A,100551.724,,30,,,,,,,,,,0,0,1,
,Super,,,3,,5832,5832,1,N/A,292134.311,,30,,,,,,,,,,1,2.3328,2.3328,
,Unique,,,3,,17496,17496,1,N/A,1125625.181,,30,,,,,,,,,,1,6.9984,6.9984,
Dice,Common,,67,1,Yes,10,10,2.5,N/A,10.15,Critical Hit Damage;,350,Highest Potential DPS;,140,Far,Close,"Has a 5% chance of dealing 35 times the normal damage. % chance of 35 times damage increases by 0.4% for every 0.1 extra Luck.
Randomly changes appearance from 1 to 6 pips","Beetle (Hel)
Gambler",,,,0,0,1,
,Unusual,,,1,,30,30,2.5,N/A,30.451,,"1,050",,420,,,,,,,,0,0,1,
,Rare,,,1,,90,90,2.5,N/A,91.353,,"3,150",,"1,260",,,,,,,,0,0,1,
,Epic,,,1,,270,270,2.5,N/A,822.18,,"9,450",,"3,780",,,,,,,,0,0,1,
,Legendary,,,1,,810,810,2.5,N/A,7399.624,,"28,350",,"11,340",,,,,,,,0,0,1,
,Mythic,,,1,,2430,2430,2.5,N/A,61663.534,,"85,050",,"34,020",,,,,,,,0,0,1,
,Ultra,,,1,,7290,7290,2.5,N/A,257333.339,,"255,150",,"102,060",,,,,,,,1,2.916,2.916,
,Super,,,1,,21870,21870,2.5,N/A,1132014.052,,"765,450",,"306,180",,,,,,,,1,8.748,8.748,
,Unique,,,1,,65610,65610,2.5,N/A,4021109.421,,"2,296,350",,"918,540",,,,,,,,1,26.244,26.244,
Disc,Common,,72,1,No,N/A,N/A,N/A,N/A,N/A,Collision Damage Resistance,10.0%,N/A,,None,None,"Does not orbit the user.
Appears on the flower. This change is visible in the top left UI. Reduces incoming physical damage (not poison or lightning).",Fire Ant Burrow,,,,1,#VALUE!,#VALUE!,
,Unusual,,,1,,N/A,N/A,N/A,N/A,N/A,,19.0%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,1,,N/A,N/A,N/A,N/A,N/A,,27.1%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,1,,N/A,N/A,N/A,N/A,N/A,,34.4%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,1,,N/A,N/A,N/A,N/A,N/A,,41.0%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,1,,N/A,N/A,N/A,N/A,N/A,,46.9%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,1,,N/A,N/A,N/A,N/A,N/A,,52.2%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,1,,N/A,N/A,N/A,N/A,N/A,,57.0%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,1,,N/A,N/A,N/A,N/A,N/A,,61.3%,,,,,,,,,,1,#VALUE!,#VALUE!,
Domino,Common,,102,1,Yes,0~36,10,0.4,N/A,24.63,Average Damage;,9.85,Highest Potential DPS;,90,Far,Close,"Randomly picks two whole numbers between 0~6 visually showen as the dots on the domino, and multiplies them to get the damage. That number is then multiplied again by the rarity of the petal converted to a number.",Gambler and Hel Centipede,0,,,0,0,1,
,Unusual,,,1,,0~108,30,0.4,N/A,73.89,,29.56,,270,,,,,36,,,0,0,1,
,Rare,,,1,,0~324,90,0.4,N/A,221.67,,88.67,,810,,,,,,,,0,0,1,
,Epic,,,1,,0~972,270,0.4,N/A,665,,266.00,,2430,,,,,,,,0,0,1,
,Legendary,,,1,,0~2916,810,0.4,N/A,1995,,798.00,,7290,,,,,,,,0,0,1,
,Mythic,,,1,,0~8748,2430,0.4,N/A,5985,,"2,394.00",,21870,,,,,,,,0,0,1,
,Ultra,,,1,,0~26244,7290,0.4,N/A,17955,,"7,182.00",,65610,,,,,,,,1,2.916,2.916,
,Super,,,1,,0~78732,21870,0.4,N/A,53865,,"21,546.00",,196830,,,,,,,,1,8.748,8.748,
,Unique,,,1,,0~236196,65610,0.4,N/A,161595,,"64,638.00",,590490,,,,,,,,1,26.244,26.244,
Beetle Egg,Common,,16,1,Yes,0,1,17,,0,Contents,Beetle (Common),N/A,,Far,Close,"When hit, spawns a Beetle (normal) that will follow the user and attack nearby mobs or enemy flowers. It cannot damage the user or friendly flowers. Enemy mobs will act hostile toward friendly mobs. Friendly mobs appear yellow instead of their normal color. The petal's health bar will reflect the friendly mob's health. Summoned mobs can damage other summoned mobs from non-squad members.
Cannot go through walls. When an egg is hatched, it does not occupy space in the flower's orbit.","Beetle (Hel)
Beetle (Normal)
Beetle (Nazar)",,,,0,0,1,
,Unusual,,,1,,0,1,21.8,,0,,Beetle (Unusual),,,,,,,,,,0,0,1,
,Rare,,,1,,0,1,26.5,,0,,Beetle (Rare),,,,,,,,,,0,0,1,
,Epic,,,1,,0,1,36,,0,,Beetle (Epic),,,,,,,,,,0,0,1,
,Legendary,,,1,,0,1,2.2,,0,,Beetle (Epic),,,,,,,,,,0,0,1,
,Mythic,,,1,,0,1,8.6,,0,,Beetle (Legendary),,,,,,,,,,0,0,1,
,Ultra,,,1,,0,1,19.1,,0,,Beetle (Mythic),,,,,,,,,,0,0,1,
,Super,,,1,,0,1,82.4,,0,,Beetle (Ultra),,,,,,,,,,0,0,1,
,Unique,,,1,,0,1,7.4,,0,,Beetle (Ultra),,,,,,,,,,0,0,1,
Ant Egg,Common,,51,4,Yes,0,25,30,,0,Contents,x4 Soldier Ant (Common),N/A,,None,None,"Spawns four (five with duplicator) friendly Soldier Ants that will follow the user and attack nearby mobs or enemy flowers. It cannot damage the user or friendly flowers. Enemy mobs will act hostile toward friendly mobs. Friendly mobs appear yellow instead of their normal color. The petal's health bar will reflect the friendly mob's health. Summoned mobs can damage other summoned mobs from non-squad members.
Cannot go through walls. When an egg is hatched, it does not occupy space in the flower's orbit.","Ant Egg
Fire Ant Egg
Queen Ant
Queen Fire Ant
Termite Egg",3,3,3,0,0,1,0
,Unusual,,,4,,0,75,38,,0,,x4 Soldier Ant (Unusual),,,,,,,9,9,9,0,0,1,
,Rare,,,4,,0,225,2.4,,0,,x4 Soldier Ant (Unusual),,,,,,,27,27,27,0,0,1,
,Epic,,,4,,0,675,3.3,,0,,x4 Soldier Ant (Rare),,,,,,,81,81,81,0,0,1,
,Legendary,,,4,,0,2025,5.1,,0,,x4 Soldier Ant (Epic),,,,,,,243,243,243,0,0,1,
,Mythic,,,4,,0,6075,15.8,,0,,x4 Soldier Ant (Legendary),,,,,,,420.8883462,729,729,1,2.43,2.43,
,Ultra,,,4,,0,18225,33.6,,0,,x4 Soldier Ant (Mythic),,,,,,,729,2187,2187,1,7.29,7.29,
,Super,,,4,,0,54675,140.2,,0,,x4 Soldier Ant (Ultra),,,,,,,1262.665039,,6561,1,21.87,21.87,
,Unique,,,4,,0,164025,13.8,,0,,x4 Soldier Ant (Ultra),,,,,,,,,,1,65.61,65.61,
Fangs,Common,,42,1,Yes,15,10,3.5,N/A,4.098,Damage Healed,35%,N/A,,Far,Close,A portion of the damage this petal deals heals the flower. ,"
Leech
",,0.15,,0,0,1,
,Unusual,,,1,,45,30,3.5,N/A,12.295,,35%,,,,,,,,,,0,0,1,
,Rare,,,1,,135,90,3.5,N/A,36.885,,35%,,,,,,,,,,0,0,1,
,Epic,,,1,,405,270,3.5,N/A,331.967,,35%,,,,,,,,,,0,0,1,
,Legendary,,,1,,1215,810,3.5,N/A,2987.705,,35%,,,,,,,,,,0,0,1,
,Mythic,,,1,,3645,2430,3.5,N/A,24897.541,,35%,,,,,,,,,,0,0,1,
,Ultra,,,1,,10935,7290,3.5,N/A,121222.856,,20.2%,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,32805,21870,3.5,N/A,578211.92,,11.7%,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,98415,65610,3.5,N/A,2159245.636,,6.7%,,,,,,,,,,1,26.244,26.244,
Faster,Common,,12,1,Yes,12,5,2.5,N/A,4.511,Rotation Speed (rad/s),0.5,N/A,,Far,Close,"Increases Rotation Speed. See Statuses for more info on Rotation Speed. 
Moves erratically in its orbit, wildly jumping in and out.","
Spider
Leech",,,,0,0,1,
,Unusual,,,1,,36,15,2.5,N/A,13.534,,0.7,,,,,,,,,,0,0,1,
,Rare,,,1,,108,45,2.5,N/A,40.602,,0.9,,,,,,,,,,0,0,1,
,Epic,,,1,,324,135,2.5,N/A,243.609,,1.1,,,,,,,,,,0,0,1,
,Legendary,,,1,,972,405,2.5,N/A,1827.068,,1.3,,,,,,,,,,0,0,1,
,Mythic,,,1,,2916,1215,2.5,N/A,14251.128,,1.5,,,,,,,,,,0,0,1,
,Ultra,,,1,,8748,3645,2.5,N/A,77431.909,,1.7,,,,,,,,,,1,1.458,1.458,
,Super,,,1,,26244,10935,2.5,N/A,407987.12,,1.9,,,,,,,,,,1,4.374,4.374,
,Unique,,,1,,78732,32805,2.5,N/A,1636550.032,,2.1,,,,,,,,,,1,13.122,13.122,
"Fragment (super-)

Mjönlir (unique)",Common,,94,1,Yes,1,1,10,N/A,0.098,Lightning,N/A,N/A,,Far,Close,"Super-:
N/A

Speculated, for unique only:
All damage ignores armor, petal is not destroyed when hitting something (unlike Lightning)",None,,,,0,0,1,
,Unusual,,,1,,3,3,10,N/A,0.295,,,,,,,,,,,,0,0,1,
,Rare,,,1,,9,9,10,N/A,0.886,,,,,,,,,,,,0,0,1,
,Epic,,,1,,27,27,10,N/A,2.657,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,81,81,10,N/A,7.972,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,243,243,10,N/A,71.752,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,729,729,10,N/A,574.016,,,,,,,,,,,,0,0,1,
,Super,,,3,,729,729,10,N/A,1722.047,,,,,,,,,,,,0,0,1,
,Unique,,,1,,0,328050,10,N/A,0,,196830,,,,,,,,,,1,131.22,131.22,
Glass,Common,,79,1,Yes,15,N/A,2.5,N/A,15,Interval (s),1,N/A,,Far,Close,"Takes no damage. Can only damage to an entity once per second, but may hit multiple entities within a second.","Soldier Ant
Sandstorm",,,,1,#VALUE!,#VALUE!,
,Unusual,,,1,,45,N/A,2.5,N/A,45,,1,,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,1,,135,N/A,2.5,N/A,135,,1,,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,1,,405,N/A,2.5,N/A,405,,1,,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,1,,1215,N/A,2.5,N/A,1215,,1,,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,1,,3645,N/A,2.5,N/A,3645,,1,,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,1,,10935,N/A,2.5,N/A,10935,,1,,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,1,,32805,N/A,2.5,N/A,32805,,1,,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,1,,98415,N/A,2.5,N/A,98415,,1,,,,,,,,,,1,#VALUE!,#VALUE!,
Grapes,Common,,10,4,Yes,3,5,1.5,0.5,13.141,Poison; Poison DPS,17,24.3,N/A,Shoots,Shoots,"Upon attacking or defending, splits off in 4 (or 5 with duplicator) directions at 90 (72 with duplicator) degree angles, moving in a straight line away from their release point. The grapes' orientation does not effect the direction it moves.
Petal and projectiles poison enemy upon contact.
Damage and poison is divided by 5 if not shot.
Cannot go through walls. Destroyed by walls if shot.
See Statuses for info on poison.","With no Orb equipped:
Centipede (Evil)",,,24.28571429,0,0,1,
,Unusual,,,4,,9,15,1.5,0.5,39.422,,51,72.9,,,,,,,,72.85714286,0,0,1,
,Rare,,,4,,27,45,1.5,0.5,118.265,,153,218.6,,,,,,,,218.5714286,0,0,1,
,Epic,,,4,,81,135,1.5,0.5,403.59,,459,655.7,,,,,,,,655.7142857,0,0,1,
,Legendary,,,4,,243,405,1.5,0.5,1649.928,,1377,1967.1,,,,,,,,1967.142857,0,0,1,
,Mythic,,,4,,729,1215,1.5,0.5,8463.036,,4131,5901.4,,,,,,,,5901.428571,0,0,1,
,Ultra,,,4,,2187,3645,1.5,0.5,33828.437,,12393,17704.3,,,,,,,,17704.28571,1,1.458,1.458,
,Super,,,4,,6561,10935,1.5,0.5,143686.456,,37179,53112.9,,,,,,,,53112.85714,1,4.374,4.374,
,Unique,,,4,,19683,32805,1.5,0.5,511173.597,,111537,159338.6,,,,,,,,159338.5714,1,13.122,13.122,
Heavy,Common,,18,1,Yes,9,150,10,N/A,1.772,N/A,,,,Somewhat Far,None,"Slows down Rotation Speed.
Has high density, making it easy for the petal to push mobs.",Rock,,,,0,0,1,
,Unusual,,,1,,27,450,10,N/A,13.287,,,,,,,,,,,,0,0,1,
,Rare,,,1,,81,1350,10,N/A,111.614,,,,,,,,,,,,0,0,1,
,Epic,,,1,,243,4050,10,N/A,835.441,,,,,,,,,,,,1,1.62,1.62,
,Legendary,,,1,,729,12150,10,N/A,5897.037,,,,,,,,,,,,1,4.86,4.86,
,Mythic,,,1,,2187,36450,10,N/A,32221.564,,,,,,,,,,,,1,14.58,14.58,
,Ultra,,,1,,6561,109350,10,N/A,133106.744,,,,,,,,,,,,1,43.74,43.74,
,Super,,,1,,19683,328050,10,N/A,456712.983,,,,,,,,,,,,1,131.22,131.22,
,Unique,,,1,,59049,984150,10,N/A,1439083.586,,,,,,,,,,,,1,393.66,393.66,
Honey,Common,,21,1,Yes,0,50,2,0.5,0,Max Mob Rarity,Common,N/A,,Shoots - Lays down,Shoots - Lays down,"When shot, all nearby aggroable mobs at or below the rarity specified by the petal will prioritize attacking the laid down Honey if nearby, doing so until the Honey is destroyed or the Honey disappears after a short duration. When destroyed, the petal goes on respawn. Not effective on projectile mobs (excluding Scorpions). Mobs will stop attacking the Honey if laid down too many times.","Bee
Bumble Bee",,,,0,0,1,
,Unusual,,,1,,0,150,2,0.5,0,,Common,,,,,,,,,,0,0,1,
,Rare,,,1,,0,450,2,0.5,0,,Unusual,,,,,,,,,,0,0,1,
,Epic,,,1,,0,1350,2,0.5,0,,Rare,,,,,,,,,,0,0,1,
,Legendary,,,1,,0,4050,2,0.5,0,,Epic,,,,,,,,,,1,1.62,1.62,
,Mythic,,,1,,0,12150,2,0.5,0,,Legendary,,,,,,,,,,1,4.86,4.86,
,Ultra,,,1,,0,36450,2,0.5,0,,Mythic,,,,,,,,,,1,14.58,14.58,
,Super,,,1,,0,109350,2,0.5,0,,Ultra,,,,,,,,,,1,43.74,43.74,
,Unique,,,1,,0,328050,2,0.5,0,,Super,,,,,,,,,,1,131.22,131.22,
Iris,Common,,7,1,Yes,5,5,4,N/A,18.029,Poison; Poison DPS,70,23.3,N/A,Far,Close,"Deals poison damage.
See Statuses for info on poison.","Scorpion
Centipede (Evil)",,,,0,0,1,
,Unusual,,,1,,15,15,4,N/A,54.087,,210,70,,,,,,,,,0,0,1,
,Rare,,,1,,45,45,4,N/A,162.26,,630,210,,,,,,,,,0,0,1,
,Epic,,,1,,135.0,135.0,4,N/A,519.231,,1890,630,,,,,,,,,0,0,1,
,Legendary,,,1,,405.0,405.0,4,N/A,1849.76,,5670,1890,,,,,,,,,0,0,1,
,Mythic,,,1,,1215.0,1215,4,N/A,7885.817,,17010,5670,,,,,,,,,0,0,1,
,Ultra,,,1,,3645.0,3645,4,N/A,35915.857,,51030,17010,,,,,,,,,1,1.458,1.458,
,Super,,,1,,10935.0,10935,4,N/A,176915.579,,153090,51030,,,,,,,,,1,4.374,4.374,
,Unique,,,1,,32805.0,32805,4,N/A,733111.791,,459270,153090,,,,,,,,,1,13.122,13.122,
Jelly,Common,,34,1,Yes,10,10,2.5,N/A,3.759,Knockback,300,N/A,,Far,Close,Deals high knockback. Higher knockback increases the strength mobs are pushed away from the petal. Knockback resistance increases with mob rarity.,Jellyfish,,1.9,,0,0,1,
,Unusual,,,1,,30,30,2.5,N/A,11.278,,432,,,,,,,,,,0,0,1,
,Rare,,,1,,90,90,2.5,N/A,33.835,,675,,,,,,,,,,0,0,1,
,Epic,,,1,,270,270,2.5,N/A,304.511,,1100,,,,,,,,,,0,0,1,
,Legendary,,,1,,810,810,2.5,N/A,2740.602,,2700,,,,,,,,,,0,0,1,
,Mythic,,,1,,2430,2430,2.5,N/A,22838.346,,7500,,,,,,,,,,0,0,1,
,Ultra,,,1,,7290,7290,2.5,N/A,95308.644,,19200,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,21870,21870,2.5,N/A,419264.464,,50700,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,65610,65610,2.5,N/A,1489299.785,,120000,,,,,,,,,,1,26.244,26.244,
Laser,Common,,101,1,Yes,5,12,5,N/A,50,Lightning Damage,,,,Close,Close,Shoots a constant red beam that deals constant lightning damage,Mecha Crab,,,,0,0,1,
,Unusual,,,1,,15,36,1.8,N/A,150,,,,,,,,,,,,0,0,1,
,Rare,,,1,,45,108,1.8,N/A,450,,,,,,,,,,,,0,0,1,
